"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"FOJLU",22,23,22,18,19,23,24,20,13,14,12,6,5,3,2,7,7,8,7,4,6,6,9,10,8,8,10,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWOZI",75,89,95,96,86,90,97,95,84,84,82,78,83,81,71,68,64,67,62,62,54,54,52,56,49,45,49,50,58,48,53,53,45,46,32,25,22,16,17,20,20,17,18,17,18,17,21,17,19,21
"SBIPC",200,194,180,177,186,190,175,172,175,190,179,179,169,179,186,196,188,182,166,167,166,177,180,181,166,158,143,136,125,124,132,153,151,146,140,122,121,114,124,130,135,147,141,152,133,133,141,137,140,118
"NZSNA",146,140,156,158,139,133,113,108,109,105,106,117,107,118,104,109,117,107,106,114,124,108,126,153,158,157,156,153,149,159,147,150,137,140,141,147,151,150,138,124,109,111,95,84,81,83,82,89,81,78
"NCMIB",85,75,76,83,81,78,81,90,101,111,110,111,115,107,102,109,111,102,103,106,106,98,97,82,79,71,58,64,61,66,51,49,58,56,48,48,43,41,45,49,54,62,64,64,58,62,70,74,68,76
"QHUZH",30,24,19,16,16,23,26,28,21,25,20,21,20,12,13,15,17,13,14,14,13,13,8,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYFUQ",146,156,154,159,166,148,161,152,151,142,151,160,173,179,187,184,174,172,181,176,192,173,174,166,175,181,194,210,212,206,202,188,201,189,212,228,229,222,234,238,235,225,245,238,257,255,251,255,243,259
"LXDWM",169,174,169,168,191,183,185,195,191,181,177,172,170,175,175,157,152,150,155,137,124,140,145,132,135,136,135,142,149,165,173,183,174,180,196,206,202,215,209,210,212,193,183,183,175,182,176,179,196,205
"IXTTA",33,23,21,14,11,10,8,5,7,7,11,13,18,14,21,22,19,23,17,13,14,13,9,7,8,13,12,10,9,7,6,6,7,12,12,7,6,6,8,13,15,15,12,2,2,0,0,0,0,0
"SKJNA",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MBKBN",4,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGNBE",5,5,5,4,6,8,6,9,9,9,6,9,12,10,10,10,14,15,16,21,26,34,33,35,35,36,41,33,28,26,28,29,33,34,33,43,45,59,45,50,48,52,60,62,67,59,49,32,34,29
"WYQXD",6,3,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEVAA",3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FYTJI",3,3,3,2,1,1,1,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EXNYZ",9,9,7,6,8,9,7,7,8,9,10,9,13,14,15,13,15,19,19,21,20,20,13,13,19,20,19,15,18,21,24,22,18,16,15,16,19,13,17,19,20,26,26,25,28,26,24,21,21,21
"PXEJR",2,4,4,4,5,4,3,3,2,2,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
