"","FOJLU","BWOZI","SBIPC","NZSNA","NCMIB","QHUZH","SYFUQ","LXDWM","IXTTA","SKJNA","MBKBN","HGNBE","WYQXD","TEVAA","FYTJI","EXNYZ","PXEJR","DUXKF","LTLQG","ZXPRH","ACDPM","WGUSI","TLNJH","FHXNO","CXRHG","OQSNA","GKNOL","YUDYJ","LXXWT","IBOPG","WMGSK","PPDRO","YGISZ","GZLAT","TTWIE","NMVKC","CEKMS","ZMXMH","EBRXV","TGXLJ","DFSTZ","FBTML","PZBVW","JOLES","SGPCT","LVIZW","QQORX","EGYEX","MUYAT","VSSCR","DBWSY","VVIOQ","HBQQL","HGGOA","KATNA","TLPPS","TSYVY","FDPGW","JQIVY","PEQGA","KQIFU","ZZLXT","WMHVU","UZIZV","ASFGT","DVFMV","GXGBY","PDQTS","JNEUV","YNXGO","GOGOQ","VSIHQ","IZYLQ","OIFCD","JGFKI","NTELM","NUJBK","RBCBY","OAWAD","ZQSDE","IFRCH","GVHYW","QBXCC","CGGFC","XWWCX","LNXHM","NXSPT","UTUFO","PONPG","XWJDJ","CVKEW","OXWFV","PWTRD","CEBQD","XSZDV","ORSQD","KTVJR","MEEIQ","RCFZJ","PAVJJ","YJVNE","DAFKQ","WOXHO","UHKAW","JSSYO","RBYGD","TITSZ","AENWD","KKDUN","JEIDR","YSQEX","SQJWE","LOKPV","AZHWX","GCJDS","UYPPH","ZIMTG","BPSKL","TPZBX","XMFPD","OIOGI","RAWHK","IDBRN","MQZHY","XCMUJ","VPMKE","QJLAF","YXKKZ","BZPEB","OBFYR","WBGZD","RRSWH","IHEGM","UAATB","KJBRY","OKQCB","ILBPX","YXTQS","VQUUM","JRSYG","QRZGQ","RZVHP","JMCYA","DZKWC","TICYF","KKFVG","SEUUB","YBCXF","RNOBL","LZNZX","MEETL","JNWCV","ZFNUQ","CAFJI","LAGDS","HXOWO","XPSNR","OZAZV","MGVRQ","LQPOM","TJLMX","YTNKU","KTCJQ","CZIFI","YVUXY","PDERY","JPTMG","MIMOF","RWWYO","GISLN","HYKRX","HPWKM","JGESA","GVYLF","DLZFC","PQIKC","VGGZJ","QKYJH","QFUFS","OFORG","SKARA","UBLWY","OKFZG","TGPRZ","INURN","PWPXG","HJGWT","time_step"
"1",22,75,200,146,85,30,146,169,33,3,4,5,6,3,3,9,2,1,9,4,4,0,0,9,10,1,3,6,2,2,2,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"2",23,89,194,140,75,24,156,174,23,1,5,5,3,1,3,9,4,1,10,4,6,0,0,8,10,3,5,8,4,1,3,0,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"3",22,95,180,156,76,19,154,169,21,0,2,5,4,2,3,7,4,1,16,4,7,0,0,6,13,3,8,6,4,1,2,0,1,2,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"4",18,96,177,158,83,16,159,168,14,0,3,4,2,1,2,6,4,0,14,4,8,0,0,2,16,3,15,6,1,1,2,0,3,2,0,3,0,0,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"5",19,86,186,139,81,16,166,191,11,0,1,6,2,0,1,8,5,0,14,7,8,0,0,1,13,3,13,4,0,2,1,0,0,2,0,3,0,0,2,0,1,1,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"6",23,90,190,133,78,23,148,183,10,0,0,8,1,0,1,9,4,0,12,8,8,0,0,0,19,5,21,3,0,2,2,0,0,0,0,5,0,0,3,0,1,2,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"7",24,97,175,113,81,26,161,185,8,0,0,6,0,0,1,7,3,0,16,8,11,0,0,0,25,6,17,3,0,2,3,0,0,0,0,4,0,0,2,0,1,3,1,4,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"8",20,95,172,108,90,28,152,195,5,0,0,9,0,0,2,7,3,0,20,11,7,0,0,0,22,8,13,3,0,2,4,0,0,0,0,3,0,0,4,0,0,2,1,4,0,0,0,2,1,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"9",13,84,175,109,101,21,151,191,7,0,0,9,0,0,2,8,2,0,20,11,9,0,0,0,21,8,17,2,0,3,1,0,0,0,0,6,0,0,8,0,0,3,0,2,0,0,0,5,2,0,2,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"10",14,84,190,105,111,25,142,181,7,0,0,9,0,0,3,9,2,0,21,15,7,0,0,0,21,8,13,2,0,3,0,0,0,0,0,6,0,0,5,0,0,4,0,1,0,0,0,0,1,0,2,4,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
